uuid,status,start_date,end_date,time,user_uuid,brand,type
0027a43b-2ce0-41ab-8ae5-5ab2b4c4c8e9,DEREGISTERED,19/10/2022,01/01/2032,16:30:00,41723351-a1a0-4805-9422-eb7589f3f97c,Toyota,5-seat
916c3053-62ca-444f-a4f6-f84733a1d2e4,DEREGISTERED,19/10/2022,01/01/2032,16:30:00,41723351-a1a0-4805-9422-eb7589f3f97c,Toyota,5-seat
39ac8911-35e5-4687-8572-1d8f89cf7981,DEREGISTERED,19/10/2022,01/01/2032,17:00:00,41723351-a1a0-4805-9422-eb7589f3f97c,Toyota,5-seat
160f5361-ca72-47d5-a695-0c51c6de015a,DEREGISTERED,19/10/2022,01/01/2032,17:00:00,41723351-a1a0-4805-9422-eb7589f3f97c,Toyota,5-seat
fd9fb002-797c-42f8-ace9-3eaa6239016b,DEREGISTERED,19/10/2022,01/01/2032,17:30:00,41723351-a1a0-4805-9422-eb7589f3f97c,Toyota,5-seat
a1379435-3db7-462f-9515-2390a095c4e5,DEREGISTERED,19/10/2022,01/01/2032,17:30:00,41723351-a1a0-4805-9422-eb7589f3f97c,Toyota,5-seat
d53fa10d-3b86-4b85-8ce0-e1a05446706c,DEREGISTERED,26/10/2022,01/01/2032,14:00:00,41723351-a1a0-4805-9422-eb7589f3f97c,Toyota,5-seat
07e5b625-97e8-4302-b33d-8f9d7abfae8b,DEREGISTERED,01/11/2022,01/01/2032,9:00:00,744ae140-06fe-4258-8b1f-cfa954feee82,Toyota,5-seat
df67feb5-87b5-40be-a670-edb15c8fe7a6,DEREGISTERED,01/11/2022,01/01/2032,14:00:00,8f67a0db-d16d-4fed-b47a-d3ba71895518,Toyota,5-seat
4246ed4b-72d9-4f5a-a890-a1d769dbcefc,DEREGISTERED,01/11/2022,01/01/2032,9:30:00,23fa793a-459b-46ad-8860-a3361748aa91,Toyota,5-seat
4796122f-ec8c-47b0-bdfa-bec36aa10aef,DEREGISTERED,01/11/2022,01/01/2032,10:30:00,41754344-786d-4a37-a6fa-392cb4f8aa13,Toyota,5-seat
2ebbed45-0747-49a3-89f5-d510327ced89,DEREGISTERED,01/11/2022,01/01/2032,10:00:00,5825120a-310f-4614-98c8-a354068f0353,Toyota,5-seat
9f1bb9d3-cc22-4688-b85d-e948d804e7f0,DEREGISTERED,01/11/2022,01/01/2032,10:30:00,30571978-4e2b-42ae-a5d0-a5a9801fd563,Toyota,5-seat
d3c78891-3f62-43be-b546-ab592efc38bb,DEREGISTERED,01/11/2022,01/01/2032,12:30:00,744ae140-06fe-4258-8b1f-cfa954feee82,Toyota,5-seat
366d5d31-dd7a-4488-b11d-ad4df8fec8bc,DEREGISTERED,01/11/2022,01/01/2032,12:30:00,30571978-4e2b-42ae-a5d0-a5a9801fd563,Toyota,5-seat
d92766db-4f68-43c5-abea-86fc5effe782,DEREGISTERED,01/11/2022,01/01/2032,16:30:00,e7f9a9c8-ac87-402a-8b01-eefa99f0920f,Toyota,5-seat
591b4b8d-cb59-49ab-a8c5-bb97902566a3,DEREGISTERED,03/11/2022,01/01/2032,18:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,Toyota,5-seat
626e8f9b-c185-472a-a15f-3bbf1d94bc9f,DEREGISTERED,03/11/2022,01/01/2032,15:30:00,90968d1a-d609-46bb-a60a-2db0486990d6,Toyota,5-seat
362613cd-137c-46a9-bbee-a2b22a452c90,DEREGISTERED,03/11/2022,01/01/2032,15:30:00,90968d1a-d609-46bb-a60a-2db0486990d6,Toyota,5-seat
a93bcade-b52d-42a5-9e8b-90d08bdc8bc4,DEREGISTERED,02/11/2022,01/01/2032,9:00:00,744ae140-06fe-4258-8b1f-cfa954feee82,Toyota,5-seat
