uuid,status,start_date,end_date,time,user_uuid,brand,type
e44aac85-db90-4a69-af25-dd965e13d97b,REGISTERED,01/11/2022,01/01/2032,12:30:00,e7f9a9c8-ac87-402a-8b01-eefa99f0920f,Toyota,5-seat
26caa27a-f878-4cf2-a54d-1866b7a625e5,REGISTERED,01/11/2022,01/01/2032,18:00:00,e7f9a9c8-ac87-402a-8b01-eefa99f0920f,Toyota,5-seat
3a9f8fc0-5446-48a1-9b36-a0bd16d6eb98,REGISTERED,02/11/2022,01/01/2032,15:00:00,705a6537-b8ea-4c4d-be6a-2a2174f2e5b5,Toyota,5-seat
d064eca2-a41a-4ff2-ae82-bd2ed0e64056,REGISTERED,03/11/2022,01/01/2032,17:30:00,e00f6bed-1b9f-4efe-bbc0-6581382c028c,Toyota,5-seat
e918dd5c-9e52-461a-a095-04e627089f21,REGISTERED,04/11/2022,01/01/2032,10:00:00,4eafc175-313f-4aab-94a6-5a9f213205b3,Toyota,5-seat
f012cf38-6adf-4b8f-bdbf-8511d6124460,REGISTERED,04/11/2022,01/01/2032,12:30:00,10746c26-a6b9-49bf-936f-f8105ccb8395,Toyota,5-seat
4591fbce-d5fe-4f1b-9940-e2781296e156,REGISTERED,07/11/2022,01/01/2032,12:30:00,4989e98e-e3a6-428b-bb87-b7371e733f21,Toyota,5-seat
9e04b939-5239-485e-a7e9-f79ee0eb588b,REGISTERED,07/11/2022,01/01/2032,20:24:34,3cf239c3-dd70-4bf8-b35e-f5508b64bef8,Toyota,5-seat
c88e5399-a34e-4135-b5b3-8cf660338a7b,REGISTERED,08/11/2022,01/01/2032,16:30:00,5825120a-310f-4614-98c8-a354068f0353,Toyota,5-seat
04daf337-60ce-4eff-a838-c73e8371fad4,REGISTERED,08/11/2022,01/01/2032,18:30:00,5825120a-310f-4614-98c8-a354068f0353,Toyota,5-seat
e875fdf7-4108-4edc-9324-5222390abd24,REGISTERED,09/11/2022,01/01/2032,12:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,Toyota,5-seat
0874bac4-fbca-42a9-8cdf-c20aeaa5339a,REGISTERED,09/11/2022,01/01/2032,12:00:00,0236ab77-0bb3-4118-9f69-16b82dcf5964,Toyota,5-seat
c7163a22-32e0-4517-8086-a088a3bab7f5,REGISTERED,09/11/2022,01/01/2032,12:00:00,af6dd0e1-0af3-4b5e-b183-d5d98ca9d224,Toyota,5-seat
0651de5e-2333-4500-a4fc-38937d378244,REGISTERED,10/11/2022,01/01/2032,12:30:00,8cf981cb-66d7-4ef8-ba6d-18b7a547d31c,Toyota,5-seat
